file,category,area,duration,month,coef_pct
2024_chouseikeisu,純揚水・蓄電池,東北,9h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,9h,10月,99.7
2024_chouseikeisu,純揚水・蓄電池,東北,9h,11月,95.2
2024_chouseikeisu,純揚水・蓄電池,東北,9h,12月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,9h,1月,95.9
2024_chouseikeisu,純揚水・蓄電池,東北,9h,2月,93.3
2024_chouseikeisu,純揚水・蓄電池,東北,9h,3月,92.0
2024_chouseikeisu,純揚水・蓄電池,東北,8h,4月,88.2
2024_chouseikeisu,純揚水・蓄電池,東北,8h,5月,88.7
2024_chouseikeisu,純揚水・蓄電池,東北,8h,6月,96.3
2024_chouseikeisu,純揚水・蓄電池,東北,8h,7月,100.0
